"Date","Price","Open","High","Low","Vol.","Change %"
"27-11-2025","1,509.10","1,511.80","1,513.90","1,501.00","861.91K","0.19%"
"26-11-2025","1,506.20","1,484.30","1,523.00","1,484.30","3.99M","1.50%"
"25-11-2025","1,483.90","1,490.00","1,492.40","1,474.50","1.36M","-0.13%"
"24-11-2025","1,485.90","1,482.00","1,490.20","1,471.30","2.49M","0.41%"
"21-11-2025","1,479.80","1,492.00","1,492.30","1,467.10","1.17M","-0.76%"
"20-11-2025","1,491.10","1,500.00","1,505.00","1,487.60","1.46M","0.46%"
"19-11-2025","1,484.20","1,499.00","1,499.50","1,478.00","1.75M","-0.72%"
"18-11-2025","1,495.00","1,518.90","1,518.90","1,490.20","1.82M","-0.84%"
"17-11-2025","1,507.60","1,518.90","1,519.00","1,503.00","1.75M","-0.34%"
"14-11-2025","1,512.70","1,500.00","1,523.60","1,497.00","2.35M","0.91%"
"13-11-2025","1,499.00","1,515.00","1,515.00","1,487.80","2.30M","-0.52%"
"12-11-2025","1,506.90","1,477.00","1,515.00","1,475.50","4.64M","2.20%"
"11-11-2025","1,474.40","1,453.00","1,476.00","1,437.80","2.26M","2.04%"
"10-11-2025","1,444.90","1,452.20","1,463.90","1,441.00","1.16M","-0.23%"
"07-11-2025","1,448.30","1,435.00","1,464.00","1,425.00","2.18M","0.80%"
"06-11-2025","1,436.80","1,452.10","1,466.30","1,434.30","2.75M","-0.53%"
"04-11-2025","1,444.40","1,449.60","1,466.30","1,432.00","3.55M","-0.02%"
"03-11-2025","1,444.70","1,451.50","1,457.40","1,435.30","1.06M","-0.47%"
"31-10-2025","1,451.50","1,457.90","1,461.70","1,443.00","1.14M","-0.44%"
"30-10-2025","1,457.90","1,458.00","1,463.00","1,449.60","1.38M","0.21%"
"29-10-2025","1,454.80","1,424.10","1,464.80","1,421.60","3.58M","2.60%"
"28-10-2025","1,417.90","1,425.90","1,435.00","1,410.00","2.07M","-0.19%"
"27-10-2025","1,420.60","1,429.00","1,429.80","1,410.00","2.28M","-0.59%"
"24-10-2025","1,429.00","1,463.00","1,463.50","1,422.30","1.91M","-1.66%"
"23-10-2025","1,453.10","1,478.80","1,483.50","1,450.30","3.00M","-1.38%"
"21-10-2025","1,473.50","1,477.00","1,481.50","1,470.00","394.02K","0.44%"
"20-10-2025","1,467.00","1,488.00","1,489.00","1,459.10","2.66M","-0.84%"
"17-10-2025","1,479.40","1,479.50","1,489.00","1,462.50","3.29M","-0.01%"
"16-10-2025","1,479.50","1,454.00","1,490.50","1,453.00","6.51M","1.99%"
"15-10-2025","1,450.70","1,430.00","1,456.30","1,430.00","2.68M","1.52%"
"14-10-2025","1,429.00","1,440.00","1,442.20","1,422.00","2.64M","-0.61%"
"13-10-2025","1,437.80","1,400.80","1,441.90","1,396.00","2.25M","2.02%"
"10-10-2025","1,409.40","1,400.50","1,418.00","1,395.70","1.36M","0.99%"
"09-10-2025","1,395.60","1,394.50","1,399.80","1,388.40","1.25M","0.09%"
"08-10-2025","1,394.30","1,399.40","1,411.10","1,386.00","1.70M","-0.37%"
"07-10-2025","1,399.50","1,400.80","1,415.00","1,397.30","1.61M","-0.07%"
"06-10-2025","1,400.50","1,419.10","1,419.10","1,395.00","1.34M","-1.31%"
"03-10-2025","1,419.10","1,413.00","1,431.00","1,412.50","1.58M","-0.25%"
"01-10-2025","1,422.70","1,406.00","1,426.90","1,392.70","1.60M","1.37%"
"30-09-2025","1,403.50","1,389.70","1,408.00","1,387.20","2.00M","1.47%"
"29-09-2025","1,383.20","1,393.60","1,401.30","1,377.60","1.98M","-0.63%"
"26-09-2025","1,392.00","1,407.20","1,416.70","1,390.30","1.90M","-1.08%"
"25-09-2025","1,407.20","1,431.70","1,439.90","1,404.10","1.97M","-1.70%"
"24-09-2025","1,431.60","1,445.00","1,452.40","1,429.10","2.60M","-0.69%"
"23-09-2025","1,441.60","1,453.00","1,455.00","1,423.10","2.55M","-0.18%"
"22-09-2025","1,444.20","1,433.00","1,461.70","1,425.00","5.49M","1.15%"
"19-09-2025","1,427.80","1,447.80","1,460.00","1,425.00","8.07M","1.06%"
"18-09-2025","1,412.80","1,410.00","1,415.00","1,401.00","1.42M","0.48%"
"17-09-2025","1,406.10","1,410.00","1,413.10","1,396.20","1.06M","-0.15%"
"16-09-2025","1,408.20","1,400.00","1,412.60","1,396.60","1.64M","0.93%"
